"sRNA","M3_U87_S_readcount","LUC_U87_S_readcount","log2FoldChange","pval","padj","significant"
"hsa-let-7a-2-3p",98.0876244767325,63.5816984705014,0.648114723764615,0.203776099694954,0.931547884319789,FALSE
"hsa-let-7a-3p",241.082840272888,138.009225373574,0.816627155905242,0.14097856069709,0.832703683098857,FALSE
"hsa-let-7a-5p",58042.9691087512,62416.3874241534,-0.104855548905311,0.793991383239835,0.995251769789122,FALSE
"hsa-let-7b-3p",168.128137053118,102.094688802251,0.728504550347642,0.103690015131133,0.754563370193719,FALSE
"hsa-let-7b-5p",11391.7525093864,12034.2226640182,-0.0793782565551359,0.828546531443929,0.998384679551839,FALSE
"hsa-let-7c-3p",160.447654166831,45.2461456506543,1.84832148251299,0.000509418470162943,0.0395890925383772,TRUE
"hsa-let-7c-5p",2476.84030228618,2702.6390112159,-0.126840075051755,0.74311316557864,0.995251769789122,FALSE
"hsa-let-7d-3p",101.786635042203,111.180101234916,-0.118511977544913,0.779730389103899,0.995251769789122,FALSE
"hsa-let-7d-5p",287.993065348722,344.82551244623,-0.262814995980485,0.505574585730087,0.983135846391244,FALSE
"hsa-let-7e-3p",73.7800659927399,47.0302800910681,0.665467993709483,0.145790337486944,0.834841511504187,FALSE
"hsa-let-7e-5p",3734.80599623881,4717.60406445961,-0.337356244896089,0.325898579055447,0.981294080722106,FALSE
"hsa-let-7f-1-3p",14.2053922687439,10.898261592983,0.441522787288998,0.578802551149294,0.995251769789122,FALSE
"hsa-let-7f-2-3p",1.72483176726961,1.73301422258622,0.144482307347188,0.938101720124993,NA,FALSE
"hsa-let-7f-5p",41407.1675682782,48235.1464698999,-0.220279113546216,0.609099150796706,0.995251769789122,FALSE
"hsa-let-7g-3p",1.54551809126173,0.298659502326843,2.68799927792862,0.32115890890936,NA,FALSE
"hsa-let-7g-5p",29808.566228917,25907.8571173307,0.202236682517319,0.617764192966108,0.995251769789122,FALSE
"hsa-let-7i-3p",14.8383280960702,7.82171547387571,0.964226375328256,0.22989449094912,0.932987570831707,FALSE
"hsa-let-7i-5p",78782.4052704518,89793.6769633237,-0.188783118116072,0.689788119523261,0.995251769789122,FALSE
"hsa-miR-1-3p",50.5871203054914,62.8007198616211,-0.359092418071227,0.572263415142428,0.995251769789122,FALSE
"hsa-miR-100-3p",27.2004517878761,16.7620995586476,0.76256089801663,0.256464004078806,0.942678501478853,FALSE
"hsa-miR-100-5p",396132.676383674,444342.955315617,-0.165687317667339,0.653752327800417,0.995251769789122,FALSE
