"GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000125089","SH3TC1","4","+",8236277,8237670,8237473,8237670,8235432,8235555,"105,72,146","21,17,29","161,151,185","1,17,0",1345,149,2.57e-05,0.014356755,"0.356,0.319,0.358","0.947,0.496,1.0",-0.47
"ENSG00000197114","ZGPAT","20","+",63734644,63734824,63734704,63734824,63733586,63733712,"8,11,22","18,8,8","24,49,31","3,0,5",209,149,1.62e-05,0.010869365,"0.241,0.495,0.662","0.851,1.0,0.816",-0.423
"ENSG00000196998","WDR45","X","-",49076644,49076753,49076644,49076750,49077836,49077911,"1,0,1","32,7,32","3,16,12","27,20,29",152,149,3.82e-06,0.003655438,"0.03,0.0,0.03","0.098,0.44,0.289",-0.256
"ENSG00000215021","PHB2","12","-",6967170,6967335,6967170,6967238,6967891,6968021,"369,338,508","5,0,0","564,575,709","57,40,42",246,149,2.28e-08,5.09e-05,"0.978,1.0,1.0","0.857,0.897,0.911",0.104
"ENSG00000166012","TAF1D","11","-",93733349,93733419,93733349,93733397,93734624,93734660,"256,192,308","513,469,609","227,208,149","882,878,800",171,149,1.88e-05,0.011475758,"0.303,0.263,0.306","0.183,0.171,0.14",0.126
"ENSG00000135838","NPL","1","+",182828723,182830384,182829602,182830384,182825780,182825820,"716,325,755","0,0,5","535,570,339","13,20,16",1028,149,4.26e-08,7.14e-05,"1.0,1.0,0.956","0.856,0.805,0.754",0.18
"ENSG00000100867","DHRS2","14","+",23641665,23643219,23643151,23643219,23639793,23639895,"69,22,134","18,4,22","23,62,97","38,42,60",1635,149,5.52e-06,0.00462124,"0.259,0.334,0.357","0.052,0.119,0.128",0.217
"ENSG00000137776","SLTM","15","-",58899468,58899937,58899468,58899883,58901259,58901287,"490,35,307","0,0,0","811,398,286","85,125,91",203,149,0,0,"1.0,1.0,1.0","0.875,0.7,0.698",0.242
"ENSG00000072134","EPN2","17","+",19313122,19313279,19313125,19313279,19312051,19312144,"49,9,31","2,0,1","61,11,9","12,13,3",152,149,3.8e-05,0.019583403,"0.96,1.0,0.968","0.833,0.453,0.746",0.299
"ENSG00000183258","DDX41","5","-",177515185,177515361,177515185,177515339,177515684,177515821,"15,11,18","0,0,0","20,16,36","4,30,26",171,149,3.58e-09,1.2e-05,"1.0,1.0,1.0","0.813,0.317,0.547",0.441
"ENSG00000189283","FHIT","3","-",59749309,59749579,59749309,59749568,59752220,59752321,"16,61,12","4,0,10","1,0,7","4,11,12",160,149,1.08e-06,0.001207811,"0.788,1.0,0.528","0.189,0.0,0.352",0.592
"ENSG00000182983","ZNF662","3","+",42908792,42908909,42908795,42908909,42908021,42908148,"4,6,5","7,0,0","4,0,0","11,7,7",152,149,1.39e-05,0.010360172,"0.359,1.0,1.0","0.263,0.0,0.0",0.699
"ENSG00000047634","SCML1","X","+",17746014,17746098,17746017,17746098,17745455,17745539,"10,1,9","0,0,1","6,0,0","7,2,2",152,149,1.79e-07,0.000240449,"1.0,1.0,0.898","0.457,0.0,0.0",0.814
