"GeneID","geneSymbol","chr","strand","1stExonStart_0base","1stExonEnd","2ndExonStart_0base","2ndExonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000165874","SHLD2P1",10,"-",46621605,46621834,46625806,46626013,46614729,46614845,46630952,46631087,"2,0,1","6,6,5","22,8,25","2,3,1",356,378,1.75e-10,6.81e-07,"0.261,0.0,0.175","0.921,0.739,0.964",-0.729
"ENSG00000170634","ACYP2",2,"+",54050957,54051050,54057238,54057360,53973712,53973810,54079931,54080464,"1,0,5","7,10,3","10,4,6","0,3,0",242,271,7.26e-06,0.007424416,"0.138,0.0,0.651","1.0,0.599,1.0",-0.603
"ENSG00000005243","COPZ2",17,"-",48028471,48028510,48033210,48033302,48026166,48026475,48033862,48033944,"18,0,25","22,18,15","33,20,16","9,0,2",241,188,3.15e-05,0.021440576,"0.39,0.0,0.565","0.741,1.0,0.862",-0.549
"ENSG00000109184","DCUN1D4",4,"+",51899269,51899378,51911069,51911174,51886567,51887244,51913289,51913392,"7,4,17","83,15,106","101,48,38","141,24,61",258,254,4.85e-07,0.000826954,"0.077,0.208,0.136","0.414,0.663,0.38",-0.345
"ENSG00000243716","NPIPB5",16,"+",22519137,22519269,22519328,22519414,22513763,22513921,22523819,22523948,"44,5,79","122,27,288","119,339,217","130,311,259",281,235,2e-10,6.81e-07,"0.232,0.134,0.187","0.434,0.477,0.412",-0.257
"ENSG00000134283","PPHLN1",12,"+",42387455,42387535,42393569,42393689,42374862,42375074,42398853,42398994,"103,12,51","550,97,694","304,210,179","879,622,619",229,269,6.26e-07,0.000913516,"0.18,0.127,0.079","0.289,0.284,0.254",-0.147
"ENSG00000136504","KAT7",17,"+",49798318,49798558,49805362,49805445,49796749,49796926,49811475,49811574,"292,62,129","13,0,0","502,131,57","63,19,6",389,232,6.5e-05,0.039115686,"0.931,1.0,1.0","0.826,0.804,0.85",0.15
"ENSG00000137776","SLTM",15,"-",58916934,58916999,58932355,58932443,58901259,58901287,58933403,58933576,"139,6,119","2,0,2","216,96,82","57,14,18",237,214,3.21e-10,8.2e-07,"0.984,1.0,0.982","0.774,0.861,0.804",0.176
"ENSG00000168958","MFF",2,"+",227347225,227347384,227352513,227352573,227340291,227340380,227355676,227355761,"440,202,536","188,145,265","487,342,434","517,433,437",308,209,4.13e-05,0.026379332,"0.614,0.486,0.579","0.39,0.349,0.403",0.179
"ENSG00000237125","HAND2-AS1",4,"+",173530966,173531078,173582704,173582878,173530440,173530539,173591072,173591153,"169,14,200","49,0,23","248,103,145","132,66,98",261,323,6.92e-06,0.007424416,"0.81,1.0,0.915","0.699,0.659,0.647",0.24
"ENSG00000244219","TMEM225B",7,"+",99604385,99604596,99607672,99607810,99600204,99600285,99610392,99610762,"3,2,5","0,0,0","13,25,16","1,10,9",360,287,1.25e-05,0.009315501,"1.0,1.0,1.0","0.912,0.666,0.586",0.279
"ENSG00000154316","TDH",8,"+",11359213,11359284,11361385,11361535,11358135,11358178,11361634,11361807,"12,9,8","26,10,38","0,1,2","26,30,14",220,299,1.28e-05,0.009315501,"0.385,0.55,0.222","0.0,0.043,0.163",0.317
"ENSG00000133460","SLC2A11",22,"+",23883771,23883873,23883873,23884024,23882758,23882869,23884301,23884429,"13,12,20","0,0,2","10,8,10","9,9,2",251,300,3.29e-06,0.004200375,"1.0,1.0,0.923","0.57,0.515,0.857",0.327
"ENSG00000147419","CCDC25",8,"-",27752511,27752587,27756718,27756770,27748076,27748279,27762418,27762458,"48,9,76","55,0,2","77,34,54","192,72,74",201,225,1.23e-05,0.009315501,"0.494,1.0,0.977","0.31,0.346,0.45",0.455
"ENSG00000205670","SMIM11A",21,"+",34385477,34385644,34399710,34399899,34379427,34379516,34402090,34402777,"215,57,9","24,0,0","14,4,7","24,3,10",316,338,5.45e-11,5.58e-07,"0.906,1.0,1.0","0.384,0.588,0.428",0.502
"ENSG00000185507","IRF7",11,"-",613950,614037,614173,614399,613784,613865,614475,614534,"27,9,40","0,0,14","12,30,39","28,20,48",375,236,1.15e-05,0.009315501,"1.0,1.0,0.643","0.212,0.486,0.338",0.536
"ENSG00000185345","PRKN",6,"-",162262524,162262765,162443309,162443473,162201130,162201252,162727661,162727668,"6,4,4","10,0,4","0,0,0","23,2,10",313,390,3.13e-07,0.000639525,"0.428,1.0,0.555","0.0,0.0,0.0",0.661
