"GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000032389","EIPR1","2","-",3318856,3318958,3274338,3274419,3338016,3338149,"0,0,0","18,4,20","5,4,8","0,0,0",251,149,0,0,"0.0,0.0,0.0","1.0,1.0,1.0",-1
"ENSG00000154059","IMPACT","18","+",24451360,24451425,24450792,24450867,24453149,24453529,"1,0,0","5,1,2","2,1,6","0,0,0",214,149,6.19e-13,2.92e-10,"0.122,0.0,0.0","1.0,1.0,1.0",-0.959
"ENSG00000163848","ZNF148","3","-",125314936,125315053,125313307,125313656,125323387,125323444,"0,3,2","12,9,6","5,6,11","0,0,1",266,149,6.03e-14,3.22e-11,"0.0,0.157,0.157","1.0,1.0,0.86",-0.849
"ENSG00000072134","EPN2","17","+",19279861,19279980,19274050,19274318,19281954,19282077,"0,0,2","9,10,13","6,7,2","3,0,0",268,149,1.27e-08,3.25e-06,"0.0,0.0,0.079","0.527,1.0,1.0",-0.816
"ENSG00000213057","C1orf220","1","+",178545212,178545903,178542795,178542885,178547093,178548889,"0,14,6","7,5,3","10,17,8","0,0,0",840,149,0,0,"0.0,0.332,0.262","1.0,1.0,1.0",-0.802
"ENSG00000226312","CFLAR-AS1","2","-",201148715,201149200,201140289,201140445,201149653,201149671,"10,1,5","6,1,4","2,2,3","0,0,0",634,149,9.71e-13,4.42e-10,"0.281,0.19,0.227","1.0,1.0,1.0",-0.767
"ENSG00000138709","LARP1B","4","+",128176871,128176907,128162193,128162317,128178430,128178642,"0,0,1","1,13,11","2,4,5","0,0,9",185,149,1.79e-05,0.002379898,"0.0,0.0,0.068","1.0,1.0,0.309",-0.747
"ENSG00000062485","CS","12","-",56298608,56298691,56286281,56286620,56300159,56300283,"0,0,5","5,6,13","4,4,6","1,0,2",232,149,1.44e-06,0.000255685,"0.0,0.0,0.198","0.72,1.0,0.658",-0.727
"ENSG00000168826","ZBTB49","4","+",4313040,4313114,4302310,4303091,4320639,4320697,"0,4,9","1,8,8","3,7,6","0,0,1",223,149,2.49e-07,5.15e-05,"0.0,0.25,0.429","1.0,1.0,0.8",-0.707
"ENSG00000131374","TBC1D5","3","-",17586352,17586557,17562018,17562142,17622647,17622765,"4,5,2","2,5,5","3,3,1","0,0,0",354,149,2.73e-11,1.04e-08,"0.457,0.296,0.144","1.0,1.0,1.0",-0.701
