"GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
"ENSG00000270011","ZNF559-ZNF177","19","+",9337795,9338017,9337795,9337858,9338493,9338582,"2,2,0","8,9,9","5,2,9","0,0,0",308,149,0,0,"0.108,0.097,0.0","1.0,1.0,1.0",-0.932
"ENSG00000196876","SCN8A","12","+",51688757,51690019,51688757,51688849,51699569,51699791,"1,3,2","0,5,5","4,13,14","0,0,0",1319,149,3.25e-07,6.23e-05,"1.0,0.063,0.043","1.0,1.0,1.0",-0.631
"ENSG00000266010","GATA6-AS1","18","-",22168043,22168162,22168085,22168162,22167603,22167803,"6,1,2","1,5,10","7,19,13","0,1,3",191,149,0.000361364,0.027463681,"0.824,0.135,0.135","1.0,0.937,0.772",-0.538
"ENSG00000174652","ZNF266","19","-",9419050,9419299,9419216,9419299,9418504,9418631,"10,27,40","30,7,11","17,34,29","0,0,0",315,149,6.75e-10,2.98e-07,"0.136,0.646,0.632","1.0,1.0,1.0",-0.529
"ENSG00000032444","PNPLA6","19","+",7535126,7535213,7535126,7535202,7535508,7535577,"2,4,3","4,3,2","4,5,1","0,0,0",160,149,2.67e-05,0.003467929,"0.318,0.554,0.583","1.0,1.0,1.0",-0.515
"ENSG00000143748","NVL","1","-",224313033,224313151,224313049,224313151,224311799,224311857,"0,0,1","5,1,4","0,3,9","2,1,0",165,149,0.000690974,0.046148666,"0.0,0.0,0.184","0.0,0.73,1.0",-0.515
"ENSG00000174652","ZNF266","19","-",9418761,9419299,9419216,9419299,9418504,9418631,"27,83,77","30,7,11","31,80,93","0,0,0",604,149,1.73e-08,4.78e-06,"0.182,0.745,0.633","1.0,1.0,1.0",-0.48
"ENSG00000143036","SLC44A3","1","+",94827506,94827643,94827506,94827547,94828492,94828586,"15,3,0","4,4,2","6,7,2","1,0,1",245,149,0.00042194,0.030998545,"0.695,0.313,0.0","0.785,1.0,0.549",-0.442
"ENSG00000078269","SYNJ2","6","+",158059256,158059537,158059256,158059353,158062054,158062164,"3,24,13","4,5,2","2,17,32","0,0,0",333,149,0.000156686,0.015348293,"0.251,0.682,0.744","1.0,1.0,1.0",-0.441
"ENSG00000196498","NCOR2","12","-",124327408,124327633,124327546,124327633,124326190,124326370,"179,221,221","125,214,115","409,596,585","34,58,43",287,149,0,0,"0.426,0.349,0.499","0.862,0.842,0.876",-0.435
"ENSG00000161996","WDR90","16","+",662672,663064,662672,662844,665678,665801,"17,40,68","14,19,21","12,49,63","3,0,0",369,149,2.26e-07,4.98e-05,"0.329,0.459,0.567","0.618,1.0,1.0",-0.421
"ENSG00000130734","ATG4D","19","+",10546838,10547075,10546838,10547071,10547188,10547253,"1,0,0","0,6,8","3,1,8","0,5,0",153,149,3.01e-05,0.003790873,"1.0,0.0,0.0","1.0,0.163,1.0",-0.388
"ENSG00000186866","POFUT2","21","-",45283351,45283527,45283382,45283527,45282368,45282398,"19,19,16","8,35,11","65,46,56","0,0,22",180,149,1.7e-05,0.002272952,"0.663,0.31,0.546","1.0,1.0,0.678",-0.386
"ENSG00000188002","AC026412.1","5","-",1632643,1632906,1632844,1632906,1630408,1630566,"7,16,30","0,15,11","27,18,23","0,0,0",350,149,0.000225242,0.019857328,"1.0,0.312,0.537","1.0,1.0,1.0",-0.384
"ENSG00000187741","FANCA","16","-",89798950,89799232,89799165,89799232,89795905,89796018,"2,13,14","38,62,74","8,6,11","4,8,3",364,149,0.000246613,0.020905189,"0.021,0.079,0.072","0.45,0.235,0.6",-0.371
"ENSG00000118257","NRP2","2","+",205766782,205766818,205766782,205766803,205767228,205768481,"12,3,5","102,84,36","13,11,3","18,13,4",164,149,9.25e-07,0.000156783,"0.097,0.031,0.112","0.396,0.435,0.405",-0.332
"ENSG00000135913","USP37","2","-",218562672,218562813,218562717,218562813,218560819,218560883,"9,10,10","3,5,6","12,17,15","0,0,2",194,149,1.49e-05,0.002047009,"0.697,0.606,0.561","1.0,1.0,0.852",-0.329
"ENSG00000249915","PDCD6","5","+",304176,306754,304176,304221,311292,311402,"463,481,429","19,48,19","697,833,667","9,7,10",2682,149,9.82e-07,0.00016036,"0.575,0.358,0.556","0.811,0.869,0.787",-0.326
"ENSG00000048991","R3HDM1","2","+",135641535,135641790,135641535,135641604,135645378,135645527,"50,95,52","22,28,3","42,76,106","1,0,0",335,149,7.42e-09,2.34e-06,"0.503,0.601,0.885","0.949,1.0,1.0",-0.32
"ENSG00000088970","KIZ","20","+",21205490,21205584,21205490,21205530,21214534,21214700,"57,29,47","47,54,47","61,24,43","30,6,9",203,149,0.000293151,0.023992019,"0.471,0.283,0.423","0.599,0.746,0.778",-0.315
"ENSG00000166169","POLL","10","-",101587821,101588232,101588203,101588232,101587245,101587406,"29,29,15","6,4,1","33,38,35","0,0,0",531,149,6.49e-05,0.00795274,"0.576,0.67,0.808","1.0,1.0,1.0",-0.315
"ENSG00000205726","ITSN1","21","+",33829005,33829168,33829005,33829050,33829623,33829745,"0,1,1","1,0,9","9,11,23","2,3,9",267,149,0.000588454,0.040529767,"0.0,1.0,0.058","0.715,0.672,0.588",-0.306
"ENSG00000135597","REPS1","6","-",138926400,138930098,138929976,138930098,138921036,138921124,"260,192,130","121,86,83","176,239,179","12,27,7",3725,149,2.89e-08,7.5e-06,"0.079,0.082,0.059","0.37,0.261,0.506",-0.306
"ENSG00000137501","SYTL2","11","-",85724031,85727967,85727895,85727967,85720857,85720959,"0,5,4","8,6,3","56,71,46","7,8,2",4013,149,1.64e-07,3.8e-05,"0.0,0.03,0.047","0.229,0.248,0.461",-0.287
"ENSG00000203791","EEF1AKMT2","10","-",124789038,124789157,124789042,124789157,124765391,124765608,"9,2,8","7,2,5","1,2,6","1,0,0",153,149,8.35e-05,0.009684424,"0.556,0.493,0.609","0.493,1.0,1.0",-0.278
