"gene_id","M3_1_U87","M3_2_U87","M3_3_U87","LUC_1_U87","LUC_2_U87","LUC_3_U87","M3_U87","LUC_U87","log2FoldChange","pvalue","padj","gene_name","gene_chr","gene_start","gene_end","gene_strand","gene_length","gene_biotype","gene_description","tf_family","M3_1_U87_count","M3_2_U87_count","M3_3_U87_count","LUC_1_U87_count","LUC_2_U87_count","LUC_3_U87_count","M3_1_U87_fpkm","M3_2_U87_fpkm","M3_3_U87_fpkm","LUC_1_U87_fpkm","LUC_2_U87_fpkm","LUC_3_U87_fpkm"
"ENSG00000166851",3558.21500112035,4127.19844039086,4062.12261632882,323.125613668502,267.554495363006,283.19174377859,3915.84535261334,291.290617603366,3.75102595999621,9.92156478893439e-118,2.08461997780301e-113,"PLK1","16",23677656,23690367,"+",4760,"protein_coding","polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]","-",3272,4209,3860,291,314,322,13.0629189712013,15.2049512225222,14.6880815699284,1.2377129955054,1.02097484558909,1.0714095710349
"ENSG00000123374",3397.26884581295,3766.35048931843,3809.5554070234,335.339983944631,368.100452219168,372.898445223982,3657.72491405159,358.77962712926,3.34866245733889,8.79259928862907e-106,9.23706518266927e-102,"CDK2","12",55966769,55972784,"+",3894,"protein_coding","cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]","-",3124,3841,3620,302,432,424,15.2457561349411,16.9613891426173,16.8382652697886,1.57016361880109,1.71703894811367,1.72455286572866
"ENSG00000173207",3886.63215586923,3815.37874354023,4203.13930819101,436.386138047152,340.833752054785,379.934264945189,3968.38340253349,385.718051682376,3.36500248123796,2.5228847734844e-96,1.76694439918936e-92,"CKS1B","1",154974653,154979249,"+",2338,"protein_coding","CDC28 protein kinase regulatory subunit 1B [Source:HGNC Symbol;Acc:HGNC:19083]","-",3574,3891,3994,393,400,432,29.0498525266916,28.6173741900711,30.9419925672488,3.40315678867897,2.64793811739799,2.92648190191552
"ENSG00000113368",2796.98318547724,3650.64380935499,3447.54240701897,313.132037988033,234.323204537665,222.507798683178,3298.38980061707,256.654347069625,3.68742827416649,5.81251955865202e-82,3.05317121117094e-78,"LMNB1","5",126776623,126837020,"+",3633,"protein_coding","lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]","-",2572,3723,3276,282,275,253,13.4536293016192,17.621411642904,16.3328968381293,1.57151172303409,1.17154680194126,1.10296498642183
"ENSG00000031691",1347.3803136883,1592.43769712396,1539.60761339095,146.572443313547,167.860622886982,137.198484563541,1493.1418747344,150.54385025469,3.30910809052498,1.32718444500644e-74,5.57709447480606e-71,"CENPQ","6",49463378,49493107,"+",1733,"protein_coding","centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]","-",1239,1624,1463,132,197,156,13.5864700050429,16.1138946670058,15.2908098333766,1.54208844550985,1.75938145663571,1.42571473563539
"ENSG00000091317",6224.70130391591,6326.60592478066,5665.92439541823,671.790365187092,644.175791383544,445.015597366356,6072.4105413716,586.993917978997,3.37184251230115,2.99782994105336e-74,1.04979008152454e-70,"CMTM6","3",32481312,32503408,"-",4413,"protein_coding","CKLF like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]","-",5724,6452,5384,605,756,506,24.6490160897913,25.1404756131552,22.0981464550141,2.77559030485255,2.65143029955146,1.81603072543418
"ENSG00000125870",2995.9909315668,2741.65997608288,2864.53309887229,451.931700216771,385.994224202044,400.16224664366,2867.39466884065,412.696057020825,2.79803973321211,7.55066157289633e-73,2.26638500440178e-69,"SNRPB2","20",16729961,16742563,"+",2607,"protein_coding","small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]","-",2755,2796,2722,407,453,455,20.0823468042757,18.4420499574723,18.9117541492238,3.16072922946353,2.68936357045441,2.76424777170324
"ENSG00000135046",162031.454381702,118680.733864535,113183.785396735,13509.0935253986,11384.69940301,9108.74810656788,131298.657880991,11334.1803449922,3.53416401395948,2.99059631102045e-71,7.85442738635633e-68,"ANXA1","9",73151757,73170393,"+",4561,"protein_coding","annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]","-",148998,121033,107552,12166,13361,10357,620.80364379743,456.306635386243,427.113346273402,54.0034685253935,45.3389270851593,35.9650366076362
"ENSG00000166833",6535.71887430724,7092.42725572513,6213.1533489133,1049.32544644926,1181.84103524997,1045.69870606442,6613.76649298189,1092.28839592122,2.59783392244756,1.38602788398409e-69,3.23575909670996e-66,"NAV2","11",19350724,20121598,"+",14673,"protein_coding","neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]","-",6010,7233,5904,945,1387,1189,7.78376015142613,8.47642269870465,7.28806361907121,1.30390756671437,1.46301874441609,1.28342217793275
"ENSG00000163235",3569.08974134382,3941.87163943246,4636.71301749865,28813.6994813882,24357.6840905952,28242.6598383909,4049.22479942498,27138.0144701248,-2.74456689081636,1.52164794159424e-65,3.19713449008367e-62,"TGFA","2",70447280,70554193,"-",4963,"protein_coding","transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]","-",3282,4020,4406,25949,28586,32113,12.566900953497,13.928194925806,16.0799591594492,105.854729200177,89.1459178913809,102.480965129601
"ENSG00000120802",3398.35631983529,3822.24269913128,3820.07904074446,668.459173293602,587.938222294505,631.464819978347,3680.22601990368,629.287405188818,2.54876752276897,9.44306144503545e-64,1.80371058201491e-60,"TMPO","12",98515512,98550379,"+",8593,"protein_coding","thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]","-",3125,3898,3630,602,690,718,6.91097147706151,7.80027800201221,7.65149919685435,1.41835712312813,1.24278678277342,1.32338508331371
"ENSG00000135535",37294.9215964005,39014.723579537,39095.2992737346,7502.95454143666,8222.6142683217,6935.55929018001,38468.3148165574,7553.70936664612,2.34839725171141,4.27753099977978e-63,7.48960031969775e-60,"CD164","6",109366514,109382812,"-",7206,"protein_coding","CD164 molecule [Source:HGNC Symbol;Acc:HGNC:1632]","-",34295,39788,37150,6757,9650,7886,90.4420588248659,94.9447400387271,93.3790140461788,18.9842557426843,20.7264728779136,17.3328156381856
"ENSG00000154839",1644.26072178911,1516.93418562239,1970.02423258227,169.890786567975,126.108488260271,95.8630437014482,1710.40637999792,130.620772843231,3.71738804247514,1.16732061626614e-62,1.88665949756675e-59,"SKA1","18",50374995,50394173,"+",2950,"protein_coding","spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]","-",1512,1547,1872,153,148,109,9.74010560959056,9.01740043863321,11.4939301138835,1.05003392203002,0.77648316875807,0.585209118681698
"ENSG00000111247",1425.6784432973,1758.15319639363,1902.67297676749,225.410651459471,172.121044787667,187.328700077142,1695.50153881947,194.953465441426,3.12391713943778,6.17680816176804e-59,9.27006544906488e-56,"RAD51AP1","12",4538798,4560048,"+",2558,"protein_coding","RAD51 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16956]","-",1311,1793,1808,203,202,213,9.73948610227149,12.0529348109217,12.8021411073792,1.60668009169664,1.22220252378055,1.31882042924749
